fdc_id,data_type,description,food_category_id,publication_date
319957,sub_sample_food,hummus sabra classic,16.0,2019-04-01
320004,sub_sample_food,hummus tribe classic,16.0,2019-04-01
320022,sub_sample_food,hummus,16.0,2019-04-01
320023,sub_sample_food,hummus other,16.0,2019-04-01
320349,sub_sample_food,milk 2,1.0,2019-04-01
320351,sub_sample_food,milk 2 wave 22e,1.0,2019-04-01
320353,sample_food,beef eye of round roaststeak lean only raw animal 5 select,13.0,2019-04-01
320356,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 5 select,13.0,2019-04-01
320357,sample_food,beef eye of round roaststeak select raw comp13 lean 36brers37brerrs,13.0,2019-04-01
320368,market_acquisition,beef eye of round roast raw er37,13.0,2019-04-01
320379,market_acquisition,beef eye of round steak raw es36,13.0,2019-04-01
320382,sample_food,beef eye of round roaststeak lean only raw animal 10 select,13.0,2019-04-01
320383,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 10 select,13.0,2019-04-01
320384,sample_food,beef eye of round roaststeak select raw comp5 lean 36brers37brerrs,13.0,2019-04-01
320388,sample_food,beef eye of round roaststeak lean only raw animal 11 select,13.0,2019-04-01
320389,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 11 select,13.0,2019-04-01
320390,sample_food,beef eye of round roaststeak lean only raw animal 16 select,13.0,2019-04-01
320391,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 16 select,13.0,2019-04-01
320392,sample_food,beef eye of round roaststeak lean only raw animal 17 select,13.0,2019-04-01
320393,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 17 select,13.0,2019-04-01
320394,sample_food,beef eye of round roaststeak lean only raw animal 18 select,13.0,2019-04-01
320395,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 18 select,13.0,2019-04-01
320396,sample_food,beef eye of round roaststeak select raw comp6 lean 36brers37brerrs,13.0,2019-04-01
320400,sample_food,beef eye of round roaststeak lean only raw animal 22 select,13.0,2019-04-01
320401,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 22 select,13.0,2019-04-01
320402,sample_food,beef eye of round roaststeak lean only raw animal 23 select,13.0,2019-04-01
320403,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 23 select,13.0,2019-04-01
320404,sample_food,beef eye of round roaststeak lean only raw animal 28 select,13.0,2019-04-01
320405,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 28 select,13.0,2019-04-01
320406,sample_food,beef eye of round roaststeak lean only raw animal 29 select,13.0,2019-04-01
320407,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 29 select,13.0,2019-04-01
320408,sample_food,beef eye of round roaststeak lean only raw animal 35 select,13.0,2019-04-01
320409,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 35 select,13.0,2019-04-01
320410,sample_food,beef eye of round roaststeak lean only raw animal 36 select,13.0,2019-04-01
320411,sub_sample_food,proximates beef eye of round roaststeak lean only raw animal 36 select,13.0,2019-04-01
320527,sub_sample_food,tomatoes grape,11.0,2019-04-01
321358,foundation_food,hummus commercial,16.0,2019-04-01
321360,foundation_food,tomatoes grape raw,11.0,2019-04-01
321380,market_acquisition,salt heb iodized,2.0,2019-04-01
321407,market_acquisition,salt laura lynn iodized,2.0,2019-04-01
321413,market_acquisition,salt essential everyday iodized,2.0,2019-04-01
321430,market_acquisition,salt hy vee iodized,2.0,2019-04-01
321459,market_acquisition,salt signature kitchens iodized,2.0,2019-04-01
321465,market_acquisition,salt food club iodized,2.0,2019-04-01
321476,market_acquisition,salt shop rite iodized,2.0,2019-04-01
321492,sub_sample_food,salt not iodized,2.0,2019-04-01
321494,market_acquisition,salt morton iodized,2.0,2019-04-01
321500,market_acquisition,salt great value iodized,2.0,2019-04-01
321504,sub_sample_food,salt iodized,2.0,2019-04-01
321553,market_acquisition,beans snap canned drained del monte,11.0,2019-04-01
321597,market_acquisition,beans snap canned drained great value,11.0,2019-04-01
321607,market_acquisition,beans snap canned drained store brand,11.0,2019-04-01
